Thai name,Thai name 2,English name,English name 2,English name 3,Color 1,Color 1 Intense,Color 2,Flavor,Properties,Nutrient Composition per 100 g Edible Portion,,,,,,,,,,,,,,,,,,,,,,,,Benefits,Benefits (Keyword 1),Benefits (Keyword 2),Cooking Type 1,Cooking Type 2,Cooking Type 3,frequency,Type,Type 2,Type 3,Type 4,Type 5,Shape 1,Shape 2,Shape 3,Texture 1,Intense,Texture 2,Intense,Texture 3
,,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,,,Vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Energy (kcal),Water (g),Protein (g),Fat (g),Carbohydrate (g),Dietary fibre (g),Ash (g),Calcium (mg),Phosphorus (mg),Magnesium (mg),Sodium (mg),Potassium (mg),Iron (mg),Copper (mg),Zinc (mg),lodine (mg),Betacarotene (ug),Retinol (ug),Total vitamin A (RAE) (ug),Thiamin (ug),Riboflavin (ug),Niacin (ug),Vitamin C (ug),Vitamin E (ug),,,,,,,,,,,,,,,,,,,,
กระเทียม,,Garlic,,,White,,,Garlic offers a pungent and slightly spicy flavor with a distinct earthy undertone. It adds depth and aromatic richness to a wide range of dishes.,"Garlic is a dried bulb known for its pungent aroma and flavor. It is commonly used as a seasoning in various cuisines and is prized for its potential health benefits, including antioxidant properties.",108,67.4,6.96,0.31,14.60,9.4,1.33,21,126,24,14,632,1.09,0.12,1.3,,2,,0,0.19,0.08,4.00,4,0.15,"Garlic is known for its potent medicinal properties. It can help lower blood pressure, reduce cholesterol levels, boost the immune system, and has antimicrobial properties that may promote overall health.",Culinary,HealthPotential,Minced,Roasted,Fried,,Fruit,,,,,Bulb,Round,,,,,,
กะปิคุณภาพดี,,Shrimp paste first class quality,Ka-pi,,Brown,,Red Brown,"High-quality shrimp paste delivers an intense umami flavor with hints of seafood sweetness and a savory punch. It's a fundamental ingredient in Thai cuisine, enhancing the complexity of many dishes.","Shrimp paste is a fermented condiment which made from ground shrimp and salt, providing a rich umami flavor to dishes. High-quality shrimp paste is characterized by its strong aroma and pure shrimp taste.",142,40.6,27.30,2.40,2.90,,26.85,1554,630,,,,,,,,,,,tr,0.36,,0,,"Shrimp paste, when of high quality, is a rich source of umami flavor and adds depth to various dishes. It can enhance the taste of Thai cuisine and provide essential nutrients like protein and minerals.",Culinary,,Roasted,Fried,,,Paste,,,,,,,,,,,,
กะปิคุณภาพรอง,,Shrimp paste second class quality,Ka-pi,,Brown,,Red Brown,Second-class quality shrimp paste retains the umami and savory notes of high-quality versions but may have a slightly milder flavor profile. It remains a crucial component in Thai cooking.,"Similar to the first class, second-class quality shrimp paste is also fermented but may have a slightly different texture or taste. It is still used in many Southeast Asian dishes to add depth and complexity to flavors.",99,27.4,15.70,1.20,6.30,0.2,,1559,683,,,,,,,,,,,0.00,0.15,,0,,"While second-class quality shrimp paste may not have the same depth of flavor as the first-class quality, it still serves as a flavor enhancer in Thai cooking, adding a unique savory taste to dishes.",Culinary,,Roasted,Fried,,,Paste,,,,,,,,,,,,
ขมิ้นขาว,,White Turmeric,,,White,,,"White turmeric has a subtle earthy and slightly bitter taste with hints of ginger. While less pungent than its yellow counterpart, it offers a mild, herbal flavor to dishes.","White turmeric is a variety of turmeric known for its mild flavor and pale color compared to the more common yellow turmeric. It is used in various culinary applications, particularly in Thai cuisine, for its subtle earthy and slightly peppery taste.",46,86.9,0.50,0.30,10.20,1.0,,14,4,,,,1.90,,,,10,,,0.03,0.01,,3,,"White turmeric, like its yellow counterpart, is known for its potential anti-inflammatory and antioxidant properties. It can be used as a spice and may offer health benefits, including aiding digestion and supporting skin health.",Culinary,HealthPotential,Fresh,Dried,,,Rhizome,,,,,Long,Cylindrical,,,,,,
ขมิ้นชัน,,Curcum Turmeric,,,Yellow,,,"Curcuma turmeric carries a vibrant, earthy flavor with a mild peppery kick. It's known for its warm, slightly bitter taste and is often used as a spice and natural food coloring.","Turmeric, or ""ขมิ้นชัน,"" contains curcumin, a natural compound with anti-inflammatory and antioxidant properties. It is used not only as a spice but also for its potential health benefits, including reducing inflammation and improving overall well-being.",68,83.8,1.70,1.40,12.10,0.7,1.00,9,41,,,,2.30,,,,114,,19,0.02,0.03,1.30,12,,"Curcumin, found in turmeric, is a potent anti-inflammatory compound with potential health benefits. It may help reduce inflammation, joint pain, and support digestive health when incorporated into a balanced diet.",Culinary,HealthPotential,Dried,Ground,,,Rhizome,,,,,Long,Cylindrical,,,,,,
ข่า,,Galanga,,,Brown,,,"Galanga imparts a citrusy, earthy, and slightly spicy flavor to dishes. It is often used in Thai and Southeast Asian cuisine to add depth and aroma to soups and curries.","Galanga is a root vegetable commonly used in Thai cuisine. It has a sharp, citrusy flavor and is known for its aromatic properties, adding a unique depth of flavor to dishes. It is often used in soups, curries, and stir-fries.",95,75.7,1.00,0.30,22.10,3.1,0.90,18,tr,,,,2.20,,,,36,,6,0.02,0.02,1.00,1,,Galanga is known for its anti-inflammatory and digestive properties. It adds a unique flavor to dishes and can help alleviate symptoms of indigestion and nausea.,Culinary,HealthPotential,Sliced,Grated,,,Rhizome,,,,,Tubular,,,,,,,
เครื่องแกงเผ็ด,,Chilli paste,,,Red,,,"Chilli paste offers a bold and fiery flavor with a spicy kick. It's a fundamental ingredient in Thai cuisine, adding heat and intensity to various dishes, especially in spicy curries.","Chilli paste, commonly used in Thai cuisine, is made from a blend of red chilies, garlic, and various spices. It provides a spicy and flavorful base for many Thai dishes, adding heat and depth to curries and stir-fries.",121,56.2,4.20,2.50,20.30,6.5,16.80,97,121,,,,17.10,,,,648,,54,0.02,0.62,10.20,22,,"Chilli paste is packed with capsaicin, which can boost metabolism and provide pain relief. It's also a source of vitamins and antioxidants, offering potential cardiovascular benefits.",Culinary,,Fried,,,,Paste,,,,,,,,,,,,
เครื่องแกงมัสมั่น,,Chilli paste,Matsaman,,Red,,,"Matsaman chili paste has a rich and complex flavor profile, combining the spiciness of chilies with the warmth of aromatic spices like cumin and cinnamon. It's a key component of Thai matsaman curry, providing depth and warmth.","Chilli paste matsaman is a variation of chili paste used in Thai matsaman curry. It includes additional spices like cinnamon, cloves, and nutmeg, giving matsaman curry its distinct warm and aromatic flavor.",282,52.6,4.30,24.30,11.50,3.7,7.30,60,153,,,,12.50,,,,558,,47,0.02,0.60,8.60,21,,"This paste contains a blend of spices like cumin, coriander, and cardamom, which may have anti-inflammatory and digestive benefits. It adds rich flavor to Thai dishes.",Culinary,,Fried,,,,Paste,,,,,,,,,,,,
